level,code,type,name
1,110000,直辖市,北京市
3,110101,市辖区,东城区
3,110102,市辖区,西城区
3,110105,市辖区,朝阳区
3,110106,市辖区,丰台区
3,110107,市辖区,石景山区
3,110108,市辖区,海淀区
3,110109,市辖区,门头沟区
3,110111,市辖区,房山区
3,110112,市辖区,通州区
3,110113,市辖区,顺义区
3,110114,市辖区,昌平区
3,110115,市辖区,大兴区
3,110116,市辖区,怀柔区
3,110117,市辖区,平谷区
3,110118,市辖区,密云区
3,110119,市辖区,延庆区
1,120000,直辖市,天津市
3,120101,市辖区,和平区
3,120102,市辖区,河东区
3,120103,市辖区,河西区
3,120104,市辖区,南开区
3,120105,市辖区,河北区
3,120106,市辖区,红桥区
3,120110,市辖区,东丽区
3,120111,市辖区,西青区
3,120112,市辖区,津南区
3,120113,市辖区,北辰区
3,120114,市辖区,武清区
3,120115,市辖区,宝坻区
3,120116,市辖区,滨海新区
3,120117,市辖区,宁河区
3,120118,市辖区,静海区
3,120119,市辖区,蓟州区
1,130000,省,河北省
2,130100,地级市,石家庄市
3,130102,市辖区,长安区
3,130104,市辖区,桥西区
3,130105,市辖区,新华区
3,130107,市辖区,井陉矿区
3,130108,市辖区,裕华区
3,130109,市辖区,藁城区
3,130110,市辖区,鹿泉区
3,130111,市辖区,栾城区
3,130121,县,井陉县
3,130123,县,正定县
3,130125,县,行唐县
3,130126,县,灵寿县
3,130127,县,高邑县
3,130128,县,深泽县
3,130129,县,赞皇县
3,130130,县,无极县
3,130131,县,平山县
3,130132,县,元氏县
3,130133,县,赵县
3,130181,县级市,辛集市
3,130183,县级市,晋州市
3,130184,县级市,新乐市
2,130200,地级市,唐山市
3,130202,市辖区,路南区
3,130203,市辖区,路北区
3,130204,市辖区,古冶区
3,130205,市辖区,开平区
3,130207,市辖区,丰南区
3,130208,市辖区,丰润区
3,130209,市辖区,曹妃甸区
3,130224,县,滦南县
3,130225,县,乐亭县
3,130227,县,迁西县
3,130229,县,玉田县
3,130281,县级市,遵化市
3,130283,县级市,迁安市
3,130284,县级市,滦州市
2,130300,地级市,秦皇岛市
3,130302,市辖区,海港区
3,130303,市辖区,山海关区
3,130304,市辖区,北戴河区
3,130306,市辖区,抚宁区
3,130321,自治县,青龙满族自治县
3,130322,县,昌黎县
3,130324,县,卢龙县
2,130400,地级市,邯郸市
3,130402,市辖区,邯山区
3,130403,市辖区,丛台区
3,130404,市辖区,复兴区
3,130406,市辖区,峰峰矿区
3,130407,市辖区,肥乡区
3,130408,市辖区,永年区
3,130423,县,临漳县
3,130424,县,成安县
3,130425,县,大名县
3,130426,县,涉县
3,130427,县,磁县
3,130430,县,邱县
3,130431,县,鸡泽县
3,130432,县,广平县
3,130433,县,馆陶县
3,130434,县,魏县
3,130435,县,曲周县
3,130481,县级市,武安市
2,130500,地级市,邢台市
3,130502,市辖区,襄都区
3,130503,市辖区,信都区
3,130505,市辖区,任泽区
3,130506,市辖区,南和区
3,130522,县,临城县
3,130523,县,内丘县
3,130524,县,柏乡县
3,130525,县,隆尧县
3,130528,县,宁晋县
3,130529,县,巨鹿县
3,130530,县,新河县
3,130531,县,广宗县
3,130532,县,平乡县
3,130533,县,威县
3,130534,县,清河县
3,130535,县,临西县
3,130581,县级市,南宫市
3,130582,县级市,沙河市
2,130600,地级市,保定市
3,130602,市辖区,竞秀区
3,130606,市辖区,莲池区
3,130607,市辖区,满城区
3,130608,市辖区,清苑区
3,130609,市辖区,徐水区
3,130623,县,涞水县
3,130624,县,阜平县
3,130626,县,定兴县
3,130627,县,唐县
3,130628,县,高阳县
3,130629,县,容城县
3,130630,县,涞源县
3,130631,县,望都县
3,130632,县,安新县
3,130633,县,易县
3,130634,县,曲阳县
3,130635,县,蠡县
3,130636,县,顺平县
3,130637,县,博野县
3,130638,县,雄县
3,130681,县级市,涿州市
3,130682,县级市,定州市
3,130683,县级市,安国市
3,130684,县级市,高碑店市
2,130700,地级市,张家口市
3,130702,市辖区,桥东区
3,130703,市辖区,桥西区
3,130705,市辖区,宣化区
3,130706,市辖区,下花园区
3,130708,市辖区,万全区
3,130709,市辖区,崇礼区
3,130722,县,张北县
3,130723,县,康保县
3,130724,县,沽源县
3,130725,县,尚义县
3,130726,县,蔚县
3,130727,县,阳原县
3,130728,县,怀安县
3,130730,县,怀来县
3,130731,县,涿鹿县
3,130732,县,赤城县
2,130800,地级市,承德市
3,130802,市辖区,双桥区
3,130803,市辖区,双滦区
3,130804,市辖区,鹰手营子矿区
3,130821,县,承德县
3,130822,县,兴隆县
3,130824,县,滦平县
3,130825,县,隆化县
3,130826,自治县,丰宁满族自治县
3,130827,自治县,宽城满族自治县
3,130828,自治县,围场满族蒙古族自治县
3,130881,县级市,平泉市
2,130900,地级市,沧州市
3,130902,市辖区,新华区
3,130903,市辖区,运河区
3,130921,县,沧县
3,130922,县,青县
3,130923,县,东光县
3,130924,县,海兴县
3,130925,县,盐山县
3,130926,县,肃宁县
3,130927,县,南皮县
3,130928,县,吴桥县
3,130929,县,献县
3,130930,自治县,孟村回族自治县
3,130981,县级市,泊头市
3,130982,县级市,任丘市
3,130983,县级市,黄骅市
3,130984,县级市,河间市
