place,name,alias
趵突东,金线,
金线东,皇华,
金线东,柳絮,
金线东,卧牛,
金线南,东高,
金线南,漱玉,
趵突南,无忧,
趵突南,石湾,
无忧西,酒泉,
无忧西,湛露,
趵突北,满井,
趵突北,北煮糠,
白云楼前,北珍珠,
北珍珠东,散水,
北珍珠东,溪亭,
北珍珠西,濯缨,
濯缨西北,灰泉,
灰泉东南,知鱼,
灰泉西,朱砂,
北珍珠西北,刘氏,
刘氏南,云楼,
万竹园内,登州,
万竹园内,望水,
登州东北,洗钵,
洗钵西南,浅井,
洗钵西南,马跑,
舜祠下,舜泉,
舜泉西,香泉,
舜泉南,鉴泉,
南舜庙,杜康,
李承务巷,金虎,
李承务巷,黑虎,
金虎西南,东蜜脂,
东蜜脂西,西蜜脂,
孝感坊内,孝感,
同知巷前，今县衙内,玉环,
塌竹巷东,罗姑,
城西南角场下,混沙,
城西南角场下,灰池,
铁佛巷东,南珍珠,
姜家亭前,芙蓉,
西务北,滴水,清泉,
城西五龙堂东,灰湾,
城西五龙堂东,悬清,
城西丁子街北,双桃,
城西石桥北城下,温泉,
神通寺内,汝泉,
神通寺东,龙门,龙泉,
龙门东,染池,
中宫东,悬泉,
中宫东南,都泉,
中宫东远东庄,柳泉,
中宫东远东庄,车泉,
四里山南,煮糟,
南山下,炉泉,
大佛山,白虎,
大佛山,甘露,
佛峪内,林汲,
王舍店北,白泉,
龙洞山中,金沙,
龙洞山中,白龙,
张马泊,花泉,
灵岩寺,独孤,
黉堂岭北,醴泉,
盘龙镇东南,浆水,
历山窝北,南煮糠,
柳埠东,苦苣,
梨峪门家庄,熨斗,
石固寨,鹿泉,
长城岭西,龙居,
,趵突,
,百脉,
