parent,code,type,name
110101,110101001,街道,东华门街道
110101,110101002,街道,景山街道
110101,110101003,街道,交道口街道
110101,110101004,街道,安定门街道
110101,110101005,街道,北新桥街道
110101,110101006,街道,东四街道
110101,110101007,街道,朝阳门街道
110101,110101008,街道,建国门街道
110101,110101009,街道,东直门街道
110101,110101010,街道,和平里街道
110101,110101011,街道,前门街道
110101,110101012,街道,崇文门外街道
110101,110101013,街道,东花市街道
110101,110101014,街道,龙潭街道
110101,110101015,街道,体育馆路街道
110101,110101016,街道,天坛街道
110101,110101017,街道,永定门外街道
110102,110102001,街道,西长安街街道
110102,110102003,街道,新街口街道
110102,110102007,街道,月坛街道
110102,110102009,街道,展览路街道
110102,110102010,街道,德胜街道
110102,110102011,街道,金融街街道
110102,110102012,街道,什刹海街道
110102,110102013,街道,大栅栏街道
110102,110102014,街道,天桥街道
110102,110102015,街道,椿树街道
110102,110102016,街道,陶然亭街道
110102,110102017,街道,广安门内街道
110102,110102018,街道,牛街街道
110102,110102019,街道,白纸坊街道
110102,110102020,街道,广安门外街道
110105,110105001,街道,建外街道
110105,110105002,街道,朝外街道
110105,110105003,街道,呼家楼街道
110105,110105004,街道,三里屯街道
110105,110105005,街道,左家庄街道
110105,110105006,街道,香河园街道
110105,110105007,街道,和平街街道
110105,110105008,街道,安贞街道
110105,110105009,街道,亚运村街道
110105,110105010,街道,小关街道
110105,110105011,街道,酒仙桥街道
110105,110105012,街道,麦子店街道
110105,110105013,街道,团结湖街道
110105,110105014,街道,六里屯街道
110105,110105015,街道,八里庄街道
110105,110105016,街道,双井街道
110105,110105017,街道,劲松街道
110105,110105018,街道,潘家园街道
110105,110105019,街道,垡头街道
110105,110105021,乡,南磨房乡
110105,110105022,乡,高碑店乡
110105,110105023,乡,将台乡
110105,110105024,乡,太阳宫乡
110105,110105025,街道,大屯街道
110105,110105026,街道,望京街道
110105,110105027,乡,小红门乡
110105,110105028,乡,十八里店乡
110105,110105029,乡,平房乡
110105,110105030,乡,东风乡
110105,110105031,街道,奥运村街道
110105,110105032,乡,来广营乡
110105,110105033,民族乡,常营回族乡
110105,110105034,乡,三间房乡
