parent,code,type,name
140213,140213002,街道,北关:街道
140322,140322202,乡,下社:乡
140403,140403012,街道,故县:街道
140405,140405203,乡,西贾:乡
140430,140430200,乡,段柳:乡
140902,140902205,乡,阳坡:乡
140930,140930201,乡,前川:乡
141026,141026201,乡,杜村:乡
210505,210505093,街道,郭家:街道
211003,211003099,街道,新城:街道
211004,211004093,街道,新村:街道
211005,211005092,街道,团山:街道
211382,211382098,街道,凌北:街道
211403,211403094,街道,望海寺:街道
211481,211481093,街道,城东:街道
220103,220103001,街道,新发:街道
220103,220103003,街道,南广:街道
220103,220103004,街道,东广:街道
230113,230113160,镇,双城:镇
230113,230113260,乡,朝阳:乡
230113,230113604,民族乡,幸福|满族:乡
231224,231224604,乡,新胜:乡
320281,320281607,街道,临港:街道
320324,320324601,镇,睢城:镇
320411,320411191,镇,春江:镇
320509,320509600,镇,松陵:镇
320509,320509601,街道,滨湖:街道
320582,320582118,镇,金港:镇
321324,321324600,镇,青阳:镇
330521,330521602,乡,三合:乡
330602,330602603,街道,蕺山:街道
330702,330702207,乡,岭上:乡
340826,340826212,乡,五里:乡
341102,341102094,街道,南门:街道
341504,341504121,镇,叶集:镇
430281,430281604,镇,王坊:镇
430502,430502600,乡,城东:乡
430524,430524600,镇,桃洪:镇
430524,430524608,乡,石门:乡
430524,430524612,镇,雨山铺:镇
430723,430723311,镇,方石坪:镇
430723,430723601,镇,张公庙:镇
430723,430723612,乡,车溪:乡
430723,430723613,乡,中武:乡
430821,430821100,镇,零阳:镇
430821,430821601,乡,宜冲桥:乡
430822,430822606,乡,白石:乡
430822,430822609,民族乡,麦地坪|白族:乡
430822,430822615,乡,谷罗山:乡
430822,430822622,乡,蹇家坡:乡
430981,430981309,镇,三眼塘:镇
430981,430981609,乡,万子湖:乡
431023,431023607,镇,油市:镇
431081,431081617,乡,龙溪:乡
431124,431124610,镇,新车:镇
431125,431125602,镇,允山:镇
431129,431129603,民族乡,清塘|壮族:乡
431129,431129609,乡,未竹口:乡
431227,431227601,乡,洞坪:乡
431227,431227604,乡,晏家:乡
431227,431227607,乡,黄雷:乡
431227,431227614,乡,碧朗:乡
431281,431281600,乡,硖州:乡
431281,431281601,乡,龙田:乡
440112,440112190,镇,九龙:镇
500156,500156100,镇,巷口:镇
510129,510129192,镇,三岔:镇
510129,510129194,镇,苏家:镇
510129,510129197,镇,蔡场:镇
510129,510129199,镇,斜源:镇
510181,510181094,街道,永丰:街道
510422,510422290,乡,益民:乡
510502,510502098,街道,张坝:街道
510503,510503195,镇,棉花坡:镇
510525,510525195,镇,土城:镇
510525,510525606,乡,金星:乡
510623,510623299,乡,石龙:乡
510681,510681192,镇,和兴:镇
510903,510903093,街道,高升街:街道
511083,511083106,镇,迎祥:镇
511083,511083199,镇,周兴:镇
511111,511111195,镇,龚嘴:镇
511111,511111293,乡,铜茨:乡
511123,511123291,乡,下渡:乡
511123,511123294,乡,塘坝:乡
511123,511123295,乡,马庙:乡
511323,511323195,镇,相如:镇
511421,511421190,镇,文林:镇
511603,511603290,乡,光辉:乡
511603,511603292,乡,小井:乡
511722,511722190,镇,东乡:镇
511722,511722195,镇,柳池:镇
511723,511723294,乡,骑龙:乡
511725,511725194,镇,水口:镇
511725,511725293,乡,青神:乡
511725,511725294,乡,射洪:乡
511725,511725295,乡,屏西:乡
511781,511781201,乡,茶垭:乡
511781,511781210,乡,花楼:乡
511781,511781297,乡,罐坝:乡
511802,511802190,镇,北郊:镇
511802,511802194,镇,对岩:镇
511822,511822200,乡,六合:乡
511902,511902196,镇,梓橦庙:镇
511922,511922197,镇,东榆:镇
511922,511922219,乡,双桂:乡
511923,511923191,镇,澌滩:镇
511923,511923293,乡,福申:乡
511923,511923295,乡,双鹿:乡
512002,512002194,镇,忠义:镇
512021,512021210,乡,悦来:乡
512022,512022292,乡,孔雀:乡
513223,513223292,乡,白溪:乡
513223,513223299,乡,飞虹:乡
513323,513323290,乡,中路:乡
513326,513326296,乡,红顶:乡
513401,513401201,乡,高枧:乡
513401,513401290,乡,西郊:乡
513401,513401295,乡,兴胜:乡
513402,513402295,乡,杨家坝:乡
513402,513402620,乡,江竹:乡
513402,513402626,乡,江普:乡
513402,513402629,乡,海潮:乡
513402,513402640,乡,龙泉:乡
513422,513422292,乡,下麦地:乡
513423,513423290,乡,双河:乡
513423,513423291,乡,大草:乡
513423,513423292,乡,博大:乡
513423,513423299,乡,盖租:乡
513423,513423601,乡,干海:乡
513428,513428201,乡,向阳:乡
513428,513428210,乡,甘天地:乡
513428,513428220,乡,菜子:乡
513428,513428222,乡,刘家坪:乡
513429,513429200,乡,木尔:乡
513429,513429214,乡,罗家坪:乡
513429,513429217,乡,火烈:乡
513429,513429222,乡,瓦都:乡
513429,513429225,乡,联补:乡
513434,513434220,乡,乐青地:乡
513434,513434227,乡,五里箐:乡
513434,513434634,乡,瓦里觉:乡
513435,513435293,乡,两河:乡
513435,513435294,乡,坪坝:乡
