parent,specific,generic
110101001,东华门,街道
110101002,景山,街道
110101003,交道口,街道
110101004,安定门,街道
110101005,北新桥,街道
110101006,东四,街道
110101007,朝阳门,街道
110101008,建国门,街道
110101009,东直门,街道
110101010,和平里,街道
110101011,前门,街道
110101012,崇文门外,街道
110101013,东花市,街道
110101014,龙潭,街道
110101015,体育馆路,街道
110101016,天坛,街道
110101017,永定门外,街道
110102001,西长安街,街道
110102003,新街口,街道
110102007,月坛,街道
110102009,展览路,街道
110102010,德胜,街道
110102011,金融街,街道
110102012,什刹海,街道
110102013,大栅栏,街道
110102014,天桥,街道
110102015,椿树,街道
110102016,陶然亭,街道
110102017,广安门内,街道
110102018,牛街,街道
110102019,白纸坊,街道
110102020,广安门外,街道
110105001,建外,街道
110105002,朝外,街道
110105003,呼家楼,街道
110105004,三里屯,街道
110105005,左家庄,街道
110105006,香河园,街道
110105007,和平街,街道
110105008,安贞,街道
110105009,亚运村,街道
110105010,小关,街道
110105011,酒仙桥,街道
110105012,麦子店,街道
110105013,团结湖,街道
110105014,六里屯,街道
110105015,八里庄,街道
110105016,双井,街道
110105017,劲松,街道
110105018,潘家园,街道
110105019,垡头,街道
110105021,南磨房,乡
110105022,高碑店,乡
110105023,将台,乡
110105024,太阳宫,乡
110105025,大屯,街道
110105026,望京,街道
110105027,小红门,乡
110105028,十八里店,乡
110105029,平房,乡
110105030,东风,乡
110105031,奥运村,街道
110105032,来广营,乡
110105033,常营|回族,乡
110105034,三间房,乡
110105035,管庄,乡
110105036,金盏,乡
110105037,孙河,乡
110105038,崔各庄,乡
110105039,东坝,乡
110105040,黑庄户,乡
110105041,豆各庄,乡
110105042,王四营,乡
110105043,东湖,街道
110105400,首都机场,街道
110106001,右安门,街道
110106002,太平桥,街道
110106003,西罗园,街道
110106004,大红门,街道
110106005,南苑,街道
110106006,东高地,街道
110106007,东铁匠营,街道
110106008,六里桥,街道
110106009,丰台,街道
110106010,新村,街道
110106011,长辛店,街道
110106012,云岗,街道
110106013,方庄,街道
110106014,宛平,街道
110106015,马家堡,街道
110106016,和义,街道
110106017,卢沟桥,街道
110106018,花乡,街道
110106020,成寿寺,街道
110106021,石榴庄,街道
110106022,玉泉营,街道
110106023,看丹,街道
110106024,五里店,街道
110106025,青塔,街道
110106100,北宫,镇
110106101,王佐,镇
110107001,八宝山,街道
110107002,老山,街道
110107003,八角,街道
110107004,古城,街道
110107005,苹果园,街道
110107006,金顶街,街道
110107009,广宁,街道
110107010,五里坨,街道
110107011,鲁谷,街道
110108001,万寿路,街道
110108002,永定路,街道
110108003,羊坊店,街道
110108004,甘家口,街道
