parent,code,type,name
11,110101,市辖区,东城:区
11,110102,市辖区,西城:区
11,110105,市辖区,朝阳:区
11,110106,市辖区,丰台:区
11,110107,市辖区,石景山:区
11,110108,市辖区,海淀:区
11,110109,市辖区,门头沟:区
11,110111,市辖区,房山:区
11,110112,市辖区,通州:区
11,110113,市辖区,顺义:区
11,110114,市辖区,昌平:区
11,110115,市辖区,大兴:区
11,110116,市辖区,怀柔:区
11,110117,市辖区,平谷:区
11,110118,市辖区,密云:区
11,110119,市辖区,延庆:区
12,120101,市辖区,和平:区
12,120102,市辖区,河东:区
12,120103,市辖区,河西:区
12,120104,市辖区,南开:区
12,120105,市辖区,河北:区
12,120106,市辖区,红桥:区
12,120110,市辖区,东丽:区
12,120111,市辖区,西青:区
12,120112,市辖区,津南:区
12,120113,市辖区,北辰:区
12,120114,市辖区,武清:区
12,120115,市辖区,宝坻:区
12,120116,市辖区,滨海:新区
12,120117,市辖区,宁河:区
12,120118,市辖区,静海:区
12,120119,市辖区,蓟州:区
1301,130102,市辖区,长安:区
1301,130104,市辖区,桥西:区
1301,130105,市辖区,新华:区
1301,130107,市辖区,井陉:矿区
1301,130108,市辖区,裕华:区
1301,130109,市辖区,藁城:区
1301,130110,市辖区,鹿泉:区
1301,130111,市辖区,栾城:区
1301,130121,县,井陉:县
1301,130123,县,正定:县
1301,130125,县,行唐:县
1301,130126,县,灵寿:县
1301,130127,县,高邑:县
1301,130128,县,深泽:县
1301,130129,县,赞皇:县
1301,130130,县,无极:县
1301,130131,县,平山:县
1301,130132,县,元氏:县
1301,130133,县,赵:县
1301,130181,县级市,辛集:市
1301,130183,县级市,晋州:市
1301,130184,县级市,新乐:市
1302,130202,市辖区,路南:区
1302,130203,市辖区,路北:区
1302,130204,市辖区,古冶:区
1302,130205,市辖区,开平:区
1302,130207,市辖区,丰南:区
1302,130208,市辖区,丰润:区
1302,130209,市辖区,曹妃甸:区
1302,130224,县,滦南:县
1302,130225,县,乐亭:县
1302,130227,县,迁西:县
1302,130229,县,玉田:县
1302,130281,县级市,遵化:市
1302,130283,县级市,迁安:市
1302,130284,县级市,滦州:市
1303,130302,市辖区,海港:区
1303,130303,市辖区,山海关:区
1303,130304,市辖区,北戴河:区
1303,130306,市辖区,抚宁:区
1303,130321,自治县,青龙|满族:自治县
1303,130322,县,昌黎:县
1303,130324,县,卢龙:县
1304,130402,市辖区,邯山:区
1304,130403,市辖区,丛台:区
1304,130404,市辖区,复兴:区
1304,130406,市辖区,峰峰:矿区
1304,130407,市辖区,肥乡:区
1304,130408,市辖区,永年:区
1304,130423,县,临漳:县
1304,130424,县,成安:县
1304,130425,县,大名:县
1304,130426,县,涉:县
1304,130427,县,磁:县
1304,130430,县,邱:县
1304,130431,县,鸡泽:县
1304,130432,县,广平:县
1304,130433,县,馆陶:县
1304,130434,县,魏:县
1304,130435,县,曲周:县
1304,130481,县级市,武安:市
1305,130502,市辖区,襄都:区
1305,130503,市辖区,信都:区
1305,130505,市辖区,任泽:区
1305,130506,市辖区,南和:区
1305,130522,县,临城:县
1305,130523,县,内丘:县
1305,130524,县,柏乡:县
1305,130525,县,隆尧:县
1305,130528,县,宁晋:县
1305,130529,县,巨鹿:县
1305,130530,县,新河:县
1305,130531,县,广宗:县
1305,130532,县,平乡:县
1305,130533,县,威:县
1305,130534,县,清河:县
1305,130535,县,临西:县
1305,130581,县级市,南宫:市
1305,130582,县级市,沙河:市
1306,130602,市辖区,竞秀:区
1306,130606,市辖区,莲池:区
1306,130607,市辖区,满城:区
1306,130608,市辖区,清苑:区
1306,130609,市辖区,徐水:区
1306,130623,县,涞水:县
1306,130624,县,阜平:县
1306,130626,县,定兴:县
1306,130627,县,唐:县
1306,130628,县,高阳:县
1306,130629,县,容城:县
1306,130630,县,涞源:县
1306,130631,县,望都:县
1306,130632,县,安新:县
1306,130633,县,易:县
1306,130634,县,曲阳:县
1306,130635,县,蠡:县
1306,130636,县,顺平:县
1306,130637,县,博野:县
1306,130638,县,雄:县
1306,130681,县级市,涿州:市
1306,130682,县级市,定州:市
1306,130683,县级市,安国:市
1306,130684,县级市,高碑店:市
1307,130702,市辖区,桥东:区
1307,130703,市辖区,桥西:区
1307,130705,市辖区,宣化:区
1307,130706,市辖区,下花园:区
1307,130708,市辖区,万全:区
1307,130709,市辖区,崇礼:区
1307,130722,县,张北:县
1307,130723,县,康保:县
1307,130724,县,沽源:县
1307,130725,县,尚义:县
1307,130726,县,蔚:县
1307,130727,县,阳原:县
1307,130728,县,怀安:县
1307,130730,县,怀来:县
1307,130731,县,涿鹿:县
1307,130732,县,赤城:县
1308,130802,市辖区,双桥:区
1308,130803,市辖区,双滦:区
1308,130804,市辖区,鹰手营子:矿区
1308,130821,县,承德:县
1308,130822,县,兴隆:县
1308,130824,县,滦平:县
1308,130825,县,隆化:县
1308,130826,自治县,丰宁|满族:自治县
1308,130827,自治县,宽城|满族:自治县
1308,130828,自治县,围场|满族|蒙古族:自治县
1308,130881,县级市,平泉:市
1309,130902,市辖区,新华:区
1309,130903,市辖区,运河:区
1309,130921,县,沧:县
1309,130922,县,青:县
1309,130923,县,东光:县
1309,130924,县,海兴:县
1309,130925,县,盐山:县
1309,130926,县,肃宁:县
1309,130927,县,南皮:县
1309,130928,县,吴桥:县
1309,130929,县,献:县
1309,130930,自治县,孟村|回族:自治县
1309,130981,县级市,泊头:市
1309,130982,县级市,任丘:市
1309,130983,县级市,黄骅:市
1309,130984,县级市,河间:市
1310,131002,市辖区,安次:区
1310,131003,市辖区,广阳:区
1310,131022,县,固安:县
1310,131023,县,永清:县
1310,131024,县,香河:县
1310,131025,县,大城:县
1310,131026,县,文安:县
1310,131028,自治县,大厂|回族:自治县
