code,short
110101,东城
110102,西城
110105,朝阳
110106,丰台
110107,石景山
110108,海淀
110109,门头沟
110111,房山
110112,通州
110113,顺义
110114,昌平
110115,大兴
110116,怀柔
110117,平谷
110118,密云
110119,延庆
120101,和平
120102,河东
120103,河西
120104,南开
120105,河北
120106,红桥
120110,东丽
120111,西青
120112,津南
120113,北辰
120114,武清
120115,宝坻
120116,滨海
120117,宁河
120118,静海
120119,蓟州
130102,长安
130104,桥西
130105,新华
130107,井陉
130108,裕华
130109,藁城
130110,鹿泉
130111,栾城
130121,井陉
130123,正定
130125,行唐
130126,灵寿
130127,高邑
130128,深泽
130129,赞皇
130130,无极
130131,平山
130132,元氏
130133,赵
130181,辛集
130183,晋州
130184,新乐
130202,路南
130203,路北
130204,古冶
130205,开平
130207,丰南
130208,丰润
130209,曹妃甸
130224,滦南
130225,乐亭
130227,迁西
130229,玉田
130281,遵化
130283,迁安
130284,滦州
130302,海港
130303,山海关
130304,北戴河
130306,抚宁
130321,青龙
130322,昌黎
130324,卢龙
130402,邯山
130403,丛台
130404,复兴
130406,峰峰
130407,肥乡
130408,永年
130423,临漳
130424,成安
130425,大名
130426,涉
130427,磁
130430,邱
130431,鸡泽
130432,广平
130433,馆陶
130434,魏
130435,曲周
130481,武安
130502,襄都
130503,信都
130505,任泽
130506,南和
130522,临城
130523,内丘
130524,柏乡
130525,隆尧
130528,宁晋
130529,巨鹿
130530,新河
130531,广宗
130532,平乡
130533,威
130534,清河
130535,临西
130581,南宫
130582,沙河
130602,竞秀
130606,莲池
130607,满城
130608,清苑
130609,徐水
130623,涞水
130624,阜平
130626,定兴
130627,唐
130628,高阳
130629,容城
130630,涞源
130631,望都
130632,安新
130633,易
130634,曲阳
130635,蠡
130636,顺平
130637,博野
130638,雄
130681,涿州
130682,定州
130683,安国
130684,高碑店
130702,桥东
130703,桥西
130705,宣化
130706,下花园
130708,万全
130709,崇礼
130722,张北
130723,康保
130724,沽源
130725,尚义
130726,蔚
130727,阳原
130728,怀安
130730,怀来
130731,涿鹿
130732,赤城
130802,双桥
130803,双滦
130804,鹰手营子
130821,承德
130822,兴隆
130824,滦平
130825,隆化
130826,丰宁
130827,宽城
130828,围场
130881,平泉
130902,新华
130903,运河
130921,沧
130922,青
130923,东光
130924,海兴
130925,盐山
130926,肃宁
130927,南皮
130928,吴桥
130929,献
130930,孟村
130981,泊头
130982,任丘
130983,黄骅
130984,河间
131002,安次
131003,广阳
131022,固安
131023,永清
131024,香河
131025,大城
131026,文安
131028,大厂
131081,霸州
131082,三河
131102,桃城
131103,冀州
131121,枣强
131122,武邑
131123,武强
131124,饶阳
131125,安平
131126,故城
131127,景
131128,阜城
131182,深州
140105,小店
140106,迎泽
140107,杏花岭
140108,尖草坪
140109,万柏林
140110,晋源
140121,清徐
140122,阳曲
140123,娄烦
140181,古交
140212,新荣
140213,平城
140214,云冈
140215,云州
140221,阳高
140222,天镇
140223,广灵
140224,灵丘
140225,浑源
140226,左云
140302,城
140303,矿
140311,郊
140321,平定
140322,盂
140403,潞州
140404,上党
140405,屯留
140406,潞城
140423,襄垣
140425,平顺
140426,黎城
140427,壶关
140428,长子
140429,武乡
140430,沁
140431,沁源
140502,城
140521,沁水
140522,阳城
140524,陵川
140525,泽州
140581,高平
140602,朔城
140603,平鲁
140621,山阴
140622,应
140623,右玉
140681,怀仁
140702,榆次
140703,太谷
140721,榆社
140722,左权
140723,和顺
140724,昔阳
140725,寿阳
140727,祁
140728,平遥
140729,灵石
140781,介休
140802,盐湖
140821,临猗
140822,万荣
140823,闻喜
140824,稷山
140825,新绛
140826,绛
140827,垣曲
140828,夏
140829,平陆
140830,芮城
140881,永济
140882,河津
140902,忻府
140921,定襄
140922,五台
140923,代
140924,繁峙
140925,宁武
140926,静乐
140927,神池
140928,五寨
140929,岢岚
140930,河曲
140931,保德
140932,偏关
140981,原平
141002,尧都
141021,曲沃
141022,翼城
141023,襄汾
141024,洪洞
141025,古
141026,安泽
141027,浮山
141028,吉
141029,乡宁
141030,大宁
141031,隰
141032,永和
141033,蒲
141034,汾西
141081,侯马
141082,霍州
141102,离石
141121,文水
141122,交城
141123,兴
141124,临
141125,柳林
141126,石楼
141127,岚
141128,方山
141129,中阳
141130,交口
141181,孝义
141182,汾阳
150102,新城
150103,回民
150104,玉泉
150105,赛罕
150121,土左
150122,托克托
150123,和林格尔
150124,清水河
150125,武川
150202,东河
150203,昆都仑
150204,青山
150205,石拐
150206,白云鄂博
150207,九原
150221,土右
150222,固阳
150223,达茂
150302,海勃湾
150303,海南
150304,乌达
150402,红山
150403,元宝山
150404,松山
150421,阿
150422,巴左
150423,巴右
150424,林西
150425,克
150426,翁
150428,喀
150429,宁城
150430,敖汉
150502,科尔沁
150521,科左中
150522,科左后
150523,开鲁
150524,库伦
150525,奈曼
150526,扎鲁特
150581,霍林郭勒
150602,东胜
150603,康巴什
150621,达
150622,准
150623,鄂前
150624,鄂
150625,杭锦
150626,乌审
150627,伊
150702,海拉尔
150703,扎赉诺尔
150721,阿荣
150722,莫
150723,鄂伦春
150724,鄂温克
150725,陈
150726,新左
150727,新右
150781,满洲里
150782,牙克石
150783,扎兰屯
150784,额尔古纳
150785,根河
150802,临河
150821,五原
150822,磴口
150823,乌前
150824,乌中
150825,乌后
150826,杭后
150902,集宁
150921,卓资
150922,化德
150923,商都
150924,兴和
150925,凉城
150926,察右前
150927,察右中
150928,察右后
150929,四子王
150981,丰镇
152201,乌兰浩特
152202,阿尔山
152221,科右前
152222,科右中
152223,扎赉特
152224,突泉
152501,二连浩特
152502,锡林浩特
152522,阿巴嘎
152523,苏左
152524,苏右
152525,东乌
152526,西乌
152527,太
152528,镶黄
152529,正镶白
152530,正蓝
152531,多伦
152921,阿左
152922,阿右
152923,额济纳
210102,和平
210103,沈河
210104,大东
210105,皇姑
210106,铁西
210111,苏家屯
210112,浑南
210113,沈北
210114,于洪
210115,辽中
210123,康平
210124,法库
210181,新民
210202,中山
210203,西岗
210204,沙河口
210211,甘井子
210212,旅顺口
210213,金州
210214,普兰店
210224,长海
210281,瓦房店
210283,庄河
210302,铁东
210303,铁西
210304,立山
210311,千山
210321,台安
210323,岫岩
210381,海城
210402,新抚
210403,东洲
210404,望花
210411,顺城
210421,抚顺
210422,新宾
210423,清原
210502,平山
210503,溪湖
210504,明山
210505,南芬
210521,本溪
210522,桓仁
210602,元宝
210603,振兴
210604,振安
210624,宽甸
210681,东港
210682,凤城
210702,古塔
210703,凌河
210711,太和
210726,黑山
210727,义
210781,凌海
210782,北镇
210802,站前
210803,西市
210804,鲅鱼圈
210811,老边
210881,盖州
210882,大石桥
210902,海州
210903,新邱
210904,太平
210905,清河门
210911,细河
210921,阜新
210922,彰武
211002,白塔
211003,文圣
211004,宏伟
211005,弓长岭
211011,太子河
211021,辽阳
211081,灯塔
211102,双台子
211103,兴隆台
211104,大洼
211122,盘山
211202,银州
211204,清河
211221,铁岭
211223,西丰
211224,昌图
211281,调兵山
211282,开原
211302,双塔
211303,龙城
211321,朝阳
211322,建平
211324,喀喇沁左翼
211381,北票
211382,凌源
211402,连山
211403,龙港
211404,南票
211421,绥中
211422,建昌
211481,兴城
220102,南关
220103,宽城
220104,朝阳
220105,二道
220106,绿园
220112,双阳
220113,九台
220122,农安
220182,榆树
220183,德惠
220184,公主岭
220202,昌邑
220203,龙潭
220204,船营
220211,丰满
220221,永吉
220281,蛟河
220282,桦甸
220283,舒兰
220284,磐石
220302,铁西
220303,铁东
220322,梨树
220323,伊通
220382,双辽
220402,龙山
220403,西安
220421,东丰
220422,东辽
220502,东昌
220503,二道江
220521,通化
220523,辉南
220524,柳河
220581,梅河口
220582,集安
220602,浑江
220605,江源
220621,抚松
220622,靖宇
220623,长白
220681,临江
220702,宁江
220721,前郭尔罗斯
220722,长岭
220723,乾安
220781,扶余
220802,洮北
220821,镇赉
220822,通榆
220881,洮南
220882,大安
222401,延吉
222402,图们
222403,敦化
222404,珲春
222405,龙井
222406,和龙
222424,汪清
222426,安图
230102,道里
230103,南岗
230104,道外
230108,平房
230109,松北
230110,香坊
230111,呼兰
230112,阿城
230113,双城
230123,依兰
230124,方正
230125,宾
230126,巴彦
230127,木兰
230128,通河
230129,延寿
230183,尚志
230184,五常
230202,龙沙
230203,建华
230204,铁锋
230205,昂昂溪
230206,富拉尔基
230207,碾子山
230208,梅里斯
230221,龙江
230223,依安
230224,泰来
230225,甘南
230227,富裕
230229,克山
230230,克东
230231,拜泉
230281,讷河
230302,鸡冠
230303,恒山
230304,滴道
230305,梨树
230306,城子河
230307,麻山
230321,鸡东
230381,虎林
230382,密山
230402,向阳
230403,工农
230404,南山
230405,兴安
230406,东山
230407,兴山
230421,萝北
230422,绥滨
230502,尖山
230503,岭东
230505,四方台
230506,宝山
230521,集贤
230522,友谊
230523,宝清
230524,饶河
230602,萨尔图
230603,龙凤
230604,让胡路
230605,红岗
230606,大同
230621,肇州
230622,肇源
230623,林甸
230624,杜尔伯特
230717,伊美
230718,乌翠
230719,友好
230722,嘉荫
230723,汤旺
230724,丰林
230725,大箐山
230726,南岔
230751,金林
230781,铁力
230803,向阳
230804,前进
230805,东风
230811,郊
230822,桦南
230826,桦川
230828,汤原
230881,同江
230882,富锦
230883,抚远
230902,新兴
230903,桃山
230904,茄子河
230921,勃利
231002,东安
231003,阳明
231004,爱民
231005,西安
231025,林口
231081,绥芬河
231083,海林
231084,宁安
231085,穆棱
231086,东宁
231102,爱辉
231123,逊克
231124,孙吴
231181,北安
231182,五大连池
231183,嫩江
231202,北林
231221,望奎
231222,兰西
231223,青冈
231224,庆安
231225,明水
231226,绥棱
231281,安达
231282,肇东
231283,海伦
232701,漠河
232721,呼玛
232722,塔河
310101,黄浦
310104,徐汇
310105,长宁
310106,静安
310107,普陀
310109,虹口
310110,杨浦
310112,闵行
310113,宝山
310114,嘉定
310115,浦东
310116,金山
310117,松江
310118,青浦
310120,奉贤
310151,崇明
320102,玄武
320104,秦淮
320105,建邺
320106,鼓楼
320111,浦口
320113,栖霞
320114,雨花台
320115,江宁
320116,六合
320117,溧水
320118,高淳
320205,锡山
320206,惠山
320211,滨湖
320213,梁溪
320214,新吴
320281,江阴
320282,宜兴
320302,鼓楼
320303,云龙
320305,贾汪
320311,泉山
320312,铜山
320321,丰
320322,沛
320324,睢宁
320381,新沂
320382,邳州
320402,天宁
320404,钟楼
320411,新北
320412,武进
320413,金坛
320481,溧阳
320505,虎丘
320506,吴中
320507,相城
320508,姑苏
320509,吴江
320581,常熟
320582,张家港
320583,昆山
320585,太仓
320612,通州
320613,崇川
320614,海门
320623,如东
320681,启东
320682,如皋
320685,海安
320703,连云
320706,海州
320707,赣榆
320722,东海
320723,灌云
320724,灌南
320803,淮安
320804,淮阴
320812,清江浦
320813,洪泽
320826,涟水
320830,盱眙
320831,金湖
320902,亭湖
320903,盐都
320904,大丰
320921,响水
320922,滨海
320923,阜宁
320924,射阳
320925,建湖
320981,东台
321002,广陵
321003,邗江
321012,江都
321023,宝应
321081,仪征
321084,高邮
321102,京口
321111,润州
321112,丹徒
321181,丹阳
321182,扬中
321183,句容
321202,海陵
321203,高港
321204,姜堰
321281,兴化
321282,靖江
321283,泰兴
321302,宿城
321311,宿豫
321322,沭阳
321323,泗阳
321324,泗洪
330102,上城
330105,拱墅
330106,西湖
330108,滨江
330109,萧山
330110,余杭
330111,富阳
330112,临安
330113,临平
330114,钱塘
330122,桐庐
330127,淳安
330182,建德
330203,海曙
330205,江北
330206,北仑
330211,镇海
330212,鄞州
330213,奉化
330225,象山
330226,宁海
330281,余姚
330282,慈溪
330302,鹿城
330303,龙湾
330304,瓯海
330305,洞头
330324,永嘉
330326,平阳
330327,苍南
330328,文成
330329,泰顺
330381,瑞安
330382,乐清
330383,龙港
330402,南湖
330411,秀洲
330421,嘉善
330424,海盐
330481,海宁
330482,平湖
330483,桐乡
330502,吴兴
330503,南浔
330521,德清
330522,长兴
330523,安吉
330602,越城
330603,柯桥
330604,上虞
330624,新昌
330681,诸暨
330683,嵊州
330702,婺城
330703,金东
330723,武义
330726,浦江
330727,磐安
330781,兰溪
330782,义乌
330783,东阳
330784,永康
330802,柯城
330803,衢江
330822,常山
330824,开化
330825,龙游
330881,江山
330902,定海
330903,普陀
330921,岱山
330922,嵊泗
331002,椒江
331003,黄岩
331004,路桥
331022,三门
331023,天台
331024,仙居
331081,温岭
331082,临海
331083,玉环
331102,莲都
331121,青田
331122,缙云
331123,遂昌
331124,松阳
331125,云和
331126,庆元
331127,景宁
331181,龙泉
340102,瑶海
340103,庐阳
340104,蜀山
340111,包河
340121,长丰
340122,肥东
340123,肥西
340124,庐江
340181,巢湖
340202,镜湖
340207,鸠江
340209,弋江
340210,湾沚
340212,繁昌
340223,南陵
340281,无为
340302,龙子湖
340303,蚌山
340304,禹会
340311,淮上
340321,怀远
340322,五河
340323,固镇
340402,大通
340403,田家庵
340404,谢家集
340405,八公山
340406,潘集
340421,凤台
340422,寿
340503,花山
340504,雨山
340506,博望
340521,当涂
340522,含山
340523,和
340602,杜集
340603,相山
340604,烈山
340621,濉溪
340705,铜官
340706,义安
340711,郊
340722,枞阳
340802,迎江
340803,大观
340811,宜秀
340822,怀宁
340825,太湖
340826,宿松
340827,望江
340828,岳西
340881,桐城
340882,潜山
341002,屯溪
341003,黄山
341004,徽州
341021,歙
341022,休宁
341023,黟
341024,祁门
341102,琅琊
341103,南谯
341122,来安
341124,全椒
341125,定远
341126,凤阳
341181,天长
341182,明光
341202,颍州
341203,颍东
341204,颍泉
341221,临泉
341222,太和
341225,阜南
341226,颍上
341282,界首
341302,埇桥
341321,砀山
341322,萧
341323,灵璧
341324,泗
341502,金安
341503,裕安
341504,叶集
341522,霍邱
341523,舒城
341524,金寨
341525,霍山
341602,谯城
341621,涡阳
341622,蒙城
341623,利辛
341702,贵池
341721,东至
341722,石台
341723,青阳
341802,宣州
341821,郎溪
341823,泾
341824,绩溪
341825,旌德
341881,宁国
341882,广德
350102,鼓楼
350103,台江
350104,仓山
350105,马尾
350111,晋安
350112,长乐
350121,闽侯
350122,连江
350123,罗源
350124,闽清
350125,永泰
350128,平潭
350181,福清
350203,思明
350205,海沧
350206,湖里
350211,集美
350212,同安
350213,翔安
350302,城厢
350303,涵江
350304,荔城
350305,秀屿
350322,仙游
350404,三元
350405,沙
350421,明溪
350423,清流
350424,宁化
350425,大田
350426,尤溪
350428,将乐
350429,泰宁
350430,建宁
350481,永安
350502,鲤城
350503,丰泽
350504,洛江
350505,泉港
350521,惠安
350524,安溪
350525,永春
350526,德化
350527,金门
350581,石狮
350582,晋江
350583,南安
350602,芗城
350603,龙文
350604,龙海
350605,长泰
350622,云霄
350623,漳浦
350624,诏安
350626,东山
350627,南靖
350628,平和
350629,华安
350702,延平
350703,建阳
350721,顺昌
350722,浦城
350723,光泽
350724,松溪
350725,政和
350781,邵武
350782,武夷山
350783,建瓯
350802,新罗
350803,永定
350821,长汀
350823,上杭
350824,武平
350825,连城
350881,漳平
350902,蕉城
350921,霞浦
350922,古田
350923,屏南
350924,寿宁
350925,周宁
350926,柘荣
350981,福安
350982,福鼎
360102,东湖
360103,西湖
360104,青云谱
360111,青山湖
360112,新建
360113,红谷滩
360121,南昌
360123,安义
360124,进贤
360202,昌江
360203,珠山
360222,浮梁
360281,乐平
360302,安源
360313,湘东
360321,莲花
360322,上栗
360323,芦溪
360402,濂溪
360403,浔阳
360404,柴桑
360423,武宁
360424,修水
360425,永修
360426,德安
360428,都昌
360429,湖口
360430,彭泽
360481,瑞昌
360482,共青城
360483,庐山
360502,渝水
360521,分宜
360602,月湖
360603,余江
360681,贵溪
360702,章贡
360703,南康
360704,赣
360722,信丰
360723,大余
360724,上犹
360725,崇义
360726,安远
360728,定南
360729,全南
360730,宁都
360731,于都
360732,兴国
360733,会昌
360734,寻乌
360735,石城
360781,瑞金
360783,龙南
360802,吉州
360803,青原
360821,吉安
360822,吉水
360823,峡江
360824,新干
360825,永丰
360826,泰和
360827,遂川
360828,万安
360829,安福
360830,永新
360881,井冈山
360902,袁州
360921,奉新
360922,万载
360923,上高
360924,宜丰
360925,靖安
360926,铜鼓
360981,丰城
360982,樟树
360983,高安
361002,临川
361003,东乡
361021,南城
361022,黎川
361023,南丰
361024,崇仁
361025,乐安
361026,宜黄
361027,金溪
361028,资溪
361030,广昌
361102,信州
361103,广丰
361104,广信
361123,玉山
361124,铅山
361125,横峰
361126,弋阳
361127,余干
361128,鄱阳
361129,万年
361130,婺源
361181,德兴
370102,历下
370103,市中
370104,槐荫
370105,天桥
370112,历城
370113,长清
370114,章丘
370115,济阳
370116,莱芜
370117,钢城
370124,平阴
370126,商河
370202,市南
370203,市北
370211,黄岛
370212,崂山
370213,李沧
370214,城阳
370215,即墨
370281,胶州
370283,平度
370285,莱西
370302,淄川
370303,张店
370304,博山
370305,临淄
370306,周村
370321,桓台
370322,高青
370323,沂源
370402,市中
370403,薛城
370404,峄城
370405,台儿庄
370406,山亭
370481,滕州
370502,东营
370503,河口
370505,垦利
370522,利津
370523,广饶
370602,芝罘
370611,福山
370612,牟平
370613,莱山
370614,蓬莱
370681,龙口
370682,莱阳
370683,莱州
370685,招远
370686,栖霞
370687,海阳
370702,潍城
370703,寒亭
370704,坊子
370705,奎文
370724,临朐
370725,昌乐
370781,青州
370782,诸城
370783,寿光
370784,安丘
370785,高密
370786,昌邑
370811,任城
370812,兖州
370826,微山
370827,鱼台
370828,金乡
370829,嘉祥
370830,汶上
370831,泗水
370832,梁山
370881,曲阜
370883,邹城
370902,泰山
370911,岱岳
370921,宁阳
370923,东平
370982,新泰
370983,肥城
371002,环翠
371003,文登
371082,荣成
371083,乳山
371102,东港
371103,岚山
371121,五莲
371122,莒
371302,兰山
371311,罗庄
371312,河东
371321,沂南
371322,郯城
371323,沂水
371324,兰陵
371325,费
371326,平邑
371327,莒南
371328,蒙阴
371329,临沭
371402,德城
371403,陵城
371422,宁津
371423,庆云
371424,临邑
371425,齐河
371426,平原
371427,夏津
371428,武城
371481,乐陵
371482,禹城
371502,东昌府
371503,茌平
371521,阳谷
371522,莘
371524,东阿
371525,冠
371526,高唐
371581,临清
371602,滨城
371603,沾化
371621,惠民
371622,阳信
371623,无棣
371625,博兴
371681,邹平
371702,牡丹
371703,定陶
371721,曹
371722,单
371723,成武
371724,巨野
371725,郓城
371726,鄄城
371728,东明
410102,中原
410103,二七
410104,管城
410105,金水
410106,上街
410108,惠济
410122,中牟
410181,巩义
410182,荥阳
410183,新密
410184,新郑
410185,登封
410202,龙亭
410203,顺河
410204,鼓楼
410205,禹王台
410212,祥符
410221,杞
410222,通许
410223,尉氏
410225,兰考
410302,老城
410303,西工
410304,瀍河
410305,涧西
410307,偃师
410308,孟津
410311,洛龙
410323,新安
410324,栾川
410325,嵩
410326,汝阳
410327,宜阳
410328,洛宁
410329,伊川
410402,新华
410403,卫东
410404,石龙
410411,湛河
410421,宝丰
410422,叶
410423,鲁山
410425,郏
410481,舞钢
410482,汝州
410502,文峰
410503,北关
410505,殷都
410506,龙安
410522,安阳
410523,汤阴
410526,滑
410527,内黄
410581,林州
410602,鹤山
410603,山城
410611,淇滨
410621,浚
410622,淇
410702,红旗
410703,卫滨
410704,凤泉
410711,牧野
410721,新乡
410724,获嘉
410725,原阳
410726,延津
410727,封丘
410781,卫辉
410782,辉
410783,长垣
410802,解放
410803,中站
410804,马村
410811,山阳
410821,修武
410822,博爱
410823,武陟
410825,温
410882,沁阳
410883,孟州
410902,华龙
410922,清丰
410923,南乐
410926,范
410927,台前
410928,濮阳
411002,魏都
411003,建安
411024,鄢陵
411025,襄城
411081,禹州
411082,长葛
411102,源汇
411103,郾城
411104,召陵
411121,舞阳
411122,临颍
411202,湖滨
411203,陕州
411221,渑池
411224,卢氏
411281,义马
411282,灵宝
411302,宛城
411303,卧龙
411321,南召
411322,方城
411323,西峡
411324,镇平
411325,内乡
411326,淅川
411327,社旗
411328,唐河
411329,新野
411330,桐柏
411381,邓州
411402,梁园
411403,睢阳
411421,民权
411422,睢
411423,宁陵
411424,柘城
411425,虞城
411426,夏邑
411481,永城
411502,浉河
411503,平桥
411521,罗山
411522,光山
411523,新
411524,商城
411525,固始
411526,潢川
411527,淮滨
411528,息
411602,川汇
411603,淮阳
411621,扶沟
411622,西华
411623,商水
411624,沈丘
411625,郸城
411627,太康
411628,鹿邑
411681,项城
411702,驿城
411721,西平
411722,上蔡
411723,平舆
411724,正阳
411725,确山
411726,泌阳
411727,汝南
411728,遂平
411729,新蔡
419001,济源
420102,江岸
420103,江汉
420104,硚口
420105,汉阳
420106,武昌
420107,青山
420111,洪山
420112,东西湖
420113,汉南
420114,蔡甸
420115,江夏
420116,黄陂
420117,新洲
420202,黄石港
420203,西塞山
420204,下陆
420205,铁山
420222,阳新
420281,大冶
420302,茅箭
420303,张湾
420304,郧阳
420322,郧西
420323,竹山
420324,竹溪
420325,房
420381,丹江口
420502,西陵
420503,伍家岗
420504,点军
420505,猇亭
420506,夷陵
420525,远安
420526,兴山
420527,秭归
420528,长阳
420529,五峰
420581,宜都
420582,当阳
420583,枝江
420602,襄城
420606,樊城
420607,襄州
420624,南漳
420625,谷城
420626,保康
420682,老河口
420683,枣阳
420684,宜城
420702,梁子湖
420703,华容
420704,鄂城
420802,东宝
420804,掇刀
420822,沙洋
420881,钟祥
420882,京山
420902,孝南
420921,孝昌
420922,大悟
420923,云梦
420981,应城
420982,安陆
420984,汉川
421002,沙市
421003,荆州
421022,公安
421024,江陵
421081,石首
421083,洪湖
421087,松滋
421088,监利
421102,黄州
421121,团风
421122,红安
421123,罗田
421124,英山
421125,浠水
421126,蕲春
421127,黄梅
421181,麻城
421182,武穴
421202,咸安
421221,嘉鱼
421222,通城
421223,崇阳
421224,通山
421281,赤壁
421303,曾都
421321,随
421381,广水
422801,恩施
422802,利川
422822,建始
422823,巴东
422825,宣恩
422826,咸丰
422827,来凤
422828,鹤峰
429004,仙桃
429005,潜江
429006,天门
429021,神农架
430102,芙蓉
430103,天心
430104,岳麓
430105,开福
430111,雨花
430112,望城
430121,长沙
430181,浏阳
430182,宁乡
430202,荷塘
430203,芦淞
430204,石峰
430211,天元
430212,渌口
430223,攸
430224,茶陵
430225,炎陵
430281,醴陵
430302,雨湖
430304,岳塘
430321,湘潭
430381,湘乡
430382,韶山
430405,珠晖
430406,雁峰
430407,石鼓
430408,蒸湘
430412,南岳
430421,衡阳
430422,衡南
430423,衡山
430424,衡东
430426,祁东
430481,耒阳
430482,常宁
430502,双清
430503,大祥
430511,北塔
430522,新邵
430523,邵阳
430524,隆回
430525,洞口
430527,绥宁
430528,新宁
430529,城步
430581,武冈
430582,邵东
430602,岳阳楼
430603,云溪
430611,君山
430621,岳阳
430623,华容
430624,湘阴
430626,平江
430681,汨罗
430682,临湘
430702,武陵
430703,鼎城
430721,安乡
430722,汉寿
430723,澧
430724,临澧
430725,桃源
430726,石门
430781,津市
430802,永定
430811,武陵源
430821,慈利
430822,桑植
430902,资阳
430903,赫山
430921,南
430922,桃江
430923,安化
430981,沅江
431002,北湖
431003,苏仙
431021,桂阳
431022,宜章
431023,永兴
431024,嘉禾
431025,临武
431026,汝城
431027,桂东
431028,安仁
431081,资兴
431102,零陵
431103,冷水滩
431122,东安
431123,双牌
431124,道
431125,江永
431126,宁远
431127,蓝山
431128,新田
431129,江华
431181,祁阳
431202,鹤城
431221,中方
431222,沅陵
431223,辰溪
431224,溆浦
431225,会同
431226,麻阳
431227,新晃
431228,芷江
431229,靖州
431230,通道
431281,洪江
431302,娄星
431321,双峰
431322,新化
431381,冷水江
431382,涟源
433101,吉首
433122,泸溪
433123,凤凰
433124,花垣
433125,保靖
433126,古丈
433127,永顺
433130,龙山
440103,荔湾
440104,越秀
440105,海珠
440106,天河
440111,白云
440112,黄埔
440113,番禺
440114,花都
440115,南沙
440117,从化
440118,增城
440203,武江
440204,浈江
