parent,code,type,name
13,1301,地级市,石家庄市
13,1302,地级市,唐山市
13,1303,地级市,秦皇岛市
13,1304,地级市,邯郸市
13,1305,地级市,邢台市
13,1306,地级市,保定市
13,1307,地级市,张家口市
13,1308,地级市,承德市
13,1309,地级市,沧州市
13,1310,地级市,廊坊市
13,1311,地级市,衡水市
14,1401,地级市,太原市
14,1402,地级市,大同市
14,1403,地级市,阳泉市
14,1404,地级市,长治市
14,1405,地级市,晋城市
14,1406,地级市,朔州市
14,1407,地级市,晋中市
14,1408,地级市,运城市
14,1409,地级市,忻州市
14,1410,地级市,临汾市
14,1411,地级市,吕梁市
15,1501,地级市,呼和浩特市
15,1502,地级市,包头市
15,1503,地级市,乌海市
15,1504,地级市,赤峰市
15,1505,地级市,通辽市
15,1506,地级市,鄂尔多斯市
15,1507,地级市,呼伦贝尔市
15,1508,地级市,巴彦淖尔市
15,1509,地级市,乌兰察布市
15,1522,盟,兴安盟
15,1525,盟,锡林郭勒盟
15,1529,盟,阿拉善盟
21,2101,地级市,沈阳市
21,2102,地级市,大连市
21,2103,地级市,鞍山市
21,2104,地级市,抚顺市
21,2105,地级市,本溪市
21,2106,地级市,丹东市
21,2107,地级市,锦州市
21,2108,地级市,营口市
21,2109,地级市,阜新市
21,2110,地级市,辽阳市
21,2111,地级市,盘锦市
21,2112,地级市,铁岭市
21,2113,地级市,朝阳市
21,2114,地级市,葫芦岛市
22,2201,地级市,长春市
22,2202,地级市,吉林市
22,2203,地级市,四平市
22,2204,地级市,辽源市
22,2205,地级市,通化市
22,2206,地级市,白山市
22,2207,地级市,松原市
22,2208,地级市,白城市
22,2224,自治州,延边朝鲜族自治州
23,2301,地级市,哈尔滨市
23,2302,地级市,齐齐哈尔市
23,2303,地级市,鸡西市
23,2304,地级市,鹤岗市
23,2305,地级市,双鸭山市
23,2306,地级市,大庆市
23,2307,地级市,伊春市
23,2308,地级市,佳木斯市
23,2309,地级市,七台河市
23,2310,地级市,牡丹江市
23,2311,地级市,黑河市
23,2312,地级市,绥化市
23,2327,地区,大兴安岭地区
32,3201,地级市,南京市
32,3202,地级市,无锡市
32,3203,地级市,徐州市
32,3204,地级市,常州市
32,3205,地级市,苏州市
32,3206,地级市,南通市
32,3207,地级市,连云港市
32,3208,地级市,淮安市
32,3209,地级市,盐城市
32,3210,地级市,扬州市
32,3211,地级市,镇江市
32,3212,地级市,泰州市
32,3213,地级市,宿迁市
33,3301,地级市,杭州市
33,3302,地级市,宁波市
33,3303,地级市,温州市
33,3304,地级市,嘉兴市
33,3305,地级市,湖州市
33,3306,地级市,绍兴市
33,3307,地级市,金华市
33,3308,地级市,衢州市
33,3309,地级市,舟山市
33,3310,地级市,台州市
33,3311,地级市,丽水市
34,3401,地级市,合肥市
34,3402,地级市,芜湖市
34,3403,地级市,蚌埠市
34,3404,地级市,淮南市
34,3405,地级市,马鞍山市
34,3406,地级市,淮北市
34,3407,地级市,铜陵市
34,3408,地级市,安庆市
34,3410,地级市,黄山市
34,3411,地级市,滁州市
34,3412,地级市,阜阳市
34,3413,地级市,宿州市
34,3415,地级市,六安市
34,3416,地级市,亳州市
34,3417,地级市,池州市
34,3418,地级市,宣城市
35,3501,地级市,福州市
35,3502,地级市,厦门市
35,3503,地级市,莆田市
35,3504,地级市,三明市
35,3505,地级市,泉州市
35,3506,地级市,漳州市
35,3507,地级市,南平市
35,3508,地级市,龙岩市
35,3509,地级市,宁德市
36,3601,地级市,南昌市
36,3602,地级市,景德镇市
36,3603,地级市,萍乡市
36,3604,地级市,九江市
36,3605,地级市,新余市
36,3606,地级市,鹰潭市
36,3607,地级市,赣州市
36,3608,地级市,吉安市
36,3609,地级市,宜春市
36,3610,地级市,抚州市
36,3611,地级市,上饶市
37,3701,地级市,济南市
37,3702,地级市,青岛市
37,3703,地级市,淄博市
37,3704,地级市,枣庄市
37,3705,地级市,东营市
37,3706,地级市,烟台市
37,3707,地级市,潍坊市
37,3708,地级市,济宁市
37,3709,地级市,泰安市
37,3710,地级市,威海市
37,3711,地级市,日照市
37,3713,地级市,临沂市
37,3714,地级市,德州市
37,3715,地级市,聊城市
37,3716,地级市,滨州市
37,3717,地级市,菏泽市
41,4101,地级市,郑州市
41,4102,地级市,开封市
41,4103,地级市,洛阳市
41,4104,地级市,平顶山市
41,4105,地级市,安阳市
41,4106,地级市,鹤壁市
41,4107,地级市,新乡市
41,4108,地级市,焦作市
41,4109,地级市,濮阳市
41,4110,地级市,许昌市
41,4111,地级市,漯河市
41,4112,地级市,三门峡市
41,4113,地级市,南阳市
41,4114,地级市,商丘市
41,4115,地级市,信阳市
41,4116,地级市,周口市
41,4117,地级市,驻马店市
42,4201,地级市,武汉市
42,4202,地级市,黄石市
42,4203,地级市,十堰市
42,4205,地级市,宜昌市
42,4206,地级市,襄阳市
42,4207,地级市,鄂州市
42,4208,地级市,荆门市
42,4209,地级市,孝感市
42,4210,地级市,荆州市
42,4211,地级市,黄冈市
42,4212,地级市,咸宁市
42,4213,地级市,随州市
42,4228,自治州,恩施土家族苗族自治州
43,4301,地级市,长沙市
43,4302,地级市,株洲市
43,4303,地级市,湘潭市
43,4304,地级市,衡阳市
43,4305,地级市,邵阳市
43,4306,地级市,岳阳市
43,4307,地级市,常德市
43,4308,地级市,张家界市
43,4309,地级市,益阳市
43,4310,地级市,郴州市
43,4311,地级市,永州市
43,4312,地级市,怀化市
43,4313,地级市,娄底市
43,4331,自治州,湘西土家族苗族自治州
44,4401,地级市,广州市
44,4402,地级市,韶关市
44,4403,地级市,深圳市
44,4404,地级市,珠海市
44,4405,地级市,汕头市
44,4406,地级市,佛山市
44,4407,地级市,江门市
44,4408,地级市,湛江市
44,4409,地级市,茂名市
44,4412,地级市,肇庆市
44,4413,地级市,惠州市
44,4414,地级市,梅州市
44,4415,地级市,汕尾市
44,4416,地级市,河源市
44,4417,地级市,阳江市
44,4418,地级市,清远市
44,4419,地级市,东莞市
44,4420,地级市,中山市
44,4451,地级市,潮州市
44,4452,地级市,揭阳市
44,4453,地级市,云浮市
45,4501,地级市,南宁市
45,4502,地级市,柳州市
45,4503,地级市,桂林市
45,4504,地级市,梧州市
45,4505,地级市,北海市
45,4506,地级市,防城港市
45,4507,地级市,钦州市
45,4508,地级市,贵港市
45,4509,地级市,玉林市
45,4510,地级市,百色市
45,4511,地级市,贺州市
45,4512,地级市,河池市
45,4513,地级市,来宾市
45,4514,地级市,崇左市
46,4601,地级市,海口市
46,4602,地级市,三亚市
46,4603,地级市,三沙市
46,4604,地级市,儋州市
51,5101,地级市,成都市
51,5103,地级市,自贡市
51,5104,地级市,攀枝花市
51,5105,地级市,泸州市
51,5106,地级市,德阳市
51,5107,地级市,绵阳市
51,5108,地级市,广元市
51,5109,地级市,遂宁市
51,5110,地级市,内江市
51,5111,地级市,乐山市
51,5113,地级市,南充市
51,5114,地级市,眉山市
51,5115,地级市,宜宾市
