code,specific,generic
1301,石家庄,市
1302,唐山,市
1303,秦皇岛,市
1304,邯郸,市
1305,邢台,市
1306,保定,市
1307,张家口,市
1308,承德,市
1309,沧州,市
1310,廊坊,市
1311,衡水,市
1401,太原,市
1402,大同,市
1403,阳泉,市
1404,长治,市
1405,晋城,市
1406,朔州,市
1407,晋中,市
1408,运城,市
1409,忻州,市
1410,临汾,市
1411,吕梁,市
1501,呼和浩特,市
1502,包头,市
1503,乌海,市
1504,赤峰,市
1505,通辽,市
1506,鄂尔多斯,市
1507,呼伦贝尔,市
1508,巴彦淖尔,市
1509,乌兰察布,市
1522,兴安,盟
1525,锡林郭勒,盟
1529,阿拉善,盟
2101,沈阳,市
2102,大连,市
2103,鞍山,市
2104,抚顺,市
2105,本溪,市
2106,丹东,市
2107,锦州,市
2108,营口,市
2109,阜新,市
2110,辽阳,市
2111,盘锦,市
2112,铁岭,市
2113,朝阳,市
2114,葫芦岛,市
2201,长春,市
2202,吉林,市
2203,四平,市
2204,辽源,市
2205,通化,市
2206,白山,市
2207,松原,市
2208,白城,市
2224,延边|朝鲜族,自治州
2301,哈尔滨,市
2302,齐齐哈尔,市
2303,鸡西,市
2304,鹤岗,市
2305,双鸭山,市
2306,大庆,市
2307,伊春,市
2308,佳木斯,市
2309,七台河,市
2310,牡丹江,市
2311,黑河,市
2312,绥化,市
2327,大兴安岭,地区
3201,南京,市
3202,无锡,市
3203,徐州,市
3204,常州,市
3205,苏州,市
3206,南通,市
3207,连云港,市
3208,淮安,市
3209,盐城,市
3210,扬州,市
3211,镇江,市
3212,泰州,市
3213,宿迁,市
3301,杭州,市
3302,宁波,市
3303,温州,市
3304,嘉兴,市
3305,湖州,市
3306,绍兴,市
3307,金华,市
3308,衢州,市
3309,舟山,市
3310,台州,市
3311,丽水,市
3401,合肥,市
3402,芜湖,市
3403,蚌埠,市
3404,淮南,市
3405,马鞍山,市
3406,淮北,市
3407,铜陵,市
3408,安庆,市
3410,黄山,市
3411,滁州,市
3412,阜阳,市
3413,宿州,市
3415,六安,市
3416,亳州,市
3417,池州,市
3418,宣城,市
3501,福州,市
3502,厦门,市
3503,莆田,市
3504,三明,市
3505,泉州,市
3506,漳州,市
3507,南平,市
3508,龙岩,市
3509,宁德,市
3601,南昌,市
3602,景德镇,市
3603,萍乡,市
3604,九江,市
3605,新余,市
3606,鹰潭,市
3607,赣州,市
3608,吉安,市
3609,宜春,市
3610,抚州,市
3611,上饶,市
3701,济南,市
3702,青岛,市
3703,淄博,市
3704,枣庄,市
3705,东营,市
3706,烟台,市
3707,潍坊,市
3708,济宁,市
3709,泰安,市
3710,威海,市
3711,日照,市
3713,临沂,市
3714,德州,市
3715,聊城,市
3716,滨州,市
3717,菏泽,市
4101,郑州,市
4102,开封,市
4103,洛阳,市
4104,平顶山,市
4105,安阳,市
4106,鹤壁,市
4107,新乡,市
4108,焦作,市
4109,濮阳,市
4110,许昌,市
4111,漯河,市
4112,三门峡,市
4113,南阳,市
4114,商丘,市
4115,信阳,市
4116,周口,市
4117,驻马店,市
4201,武汉,市
4202,黄石,市
4203,十堰,市
4205,宜昌,市
4206,襄阳,市
4207,鄂州,市
4208,荆门,市
4209,孝感,市
4210,荆州,市
4211,黄冈,市
